,Company,Product,Size,Currency,Prices
880,Sunbula ,Molokhia,400G,SAR,5.5
881,Suntop ,Mix Fruit Drink,18 × 125 Ml,SAR,13.5
882,Suntop ,Sun Cola Juice,125 Ml,SAR,1.0
883,Sunbula ,Pepperoni Special Pizza,470G,SAR,21.25
884,Sunbula ,Spring Roll Pastry,160G,SAR,3.5
885,Sunbula ,Egg Roll Pastry,160G,SAR,3.5
886,Sunbula ,Puff Pastry Squares,800G,SAR,8.9
887,Suntop ,Orange Drink,12 x 250 Ml,SAR,18.1
888,Sunbula ,Margarita Pizza,470G,SAR,20.8
889,TABARRUK ,Cooking  Frozen Shrimps,500G,SAR,16.8
890,TANG ,Orange Powder Drink,750G,SAR,23.95
891,Sunwhite ,Calrose Rice,5Kg,SAR,26.5
892,Twinings ,Green Tea & Mint,1.5G,SAR,20.5
893,Ulker ,Biskrem Cocoa Cream Filled Cookie,12 x 60G,SAR,12.25
894,Volvic ,Mineral Water,24x330 Ml,SAR,123.0
895,WHITE SWAN ,Calrose Rice,5Kg,SAR,28.5
896,WATANIA ,Chicken Breast,450G,SAR,9.9
897,WATANIA ,Chicken Drumsticks,450G,SAR,7.25
898,SIRELLA ,White Fish Fillets,500G,SAR,23.95
899,AL KABEER ,Breaded Chicken Fillets,450G,SAR,13.6
900,WATANIA ,Frozen Chicken,800G,SAR,10.95
901,Vimto ,Fruit Flavored Drink,18 x 125 Ml,SAR,14.95
902,Americana ,Beef Franks,375G,SAR,8.95
903,WATANIA ,Chicken Minced,400G,SAR,6.95
904,AL KABEER ,Jumbo Hot Dogs,400G,SAR,13.85
905,Abu kass ,Babaker Indian Mazza Basmati Rice,10Kg,SAR,59.95
906,Abu kass ,Indian Mazza Basmati Rice,5Kg,SAR,38.5
907,ABU BINT ,Calrose White Rice,5Kg,SAR,29.95
908,Herfy ,Chicken Nuggets,400G,SAR,19.15
909,Herfy ,Breaded Chicken Burger,678G,SAR,20.75
910,Herfy ,Chicken Tenders,400G,SAR,18.4
911,Galaxy ,Vanilla & Chocolate Cone Ice Cream,76G,SAR,5.95
912,GOLDEN ,Frozen Chicken,900 GM,SAR,111.95
913,AL KABEER ,Plain Paratha,400G,SAR,5.75
914,Goody ,Hot Sauce,3Z,SAR,1.6
915,Halwani Brothers ,Alnakhla Finest Tahina,500G,SAR,17.95
916,HB ,Top Top Fine Sugar,1Kg,SAR,3.95
917,INDIA GATE ,White Basmati Rice,5Kg,SAR,54.1
918,INDIA GATE ,Classic White Basmati Rice Ambar,5Kg,SAR,63.95
